             text-a.txt  text-b.txt  text-c.txt  total
a            7           0           9           16          
ac           12          0           6           18          
accumsan     3           0           2           5           
adipiscing   5           0           7           12          
aenean       3           0           3           6           
aliqua       1           0           1           2           
aliquam      8           0           4           12          
aliquet      2           0           2           4           
amet         17          0           16          33          
and          0           1           0           1           
ante         0           0           1           1           
arcu         12          0           5           17          
are          0           1           0           1           
at           3           0           7           10          
auctor       1           0           0           1           
augue        1           0           1           2           
bibendum     4           0           2           6           
blandit      3           0           5           8           
commodo      4           0           3           7           
condimentum  2           0           4           6           
congue       3           0           1           4           
consectetur  4           0           5           9           
consequat    3           0           0           3           
convallis    3           0           6           9           
counting     0           1           0           1           
cras         8           0           6           14          
cum          0           0           1           1           
curabitur    1           0           0           1           
cursus       7           0           4           11          
dapibus      1           0           0           1           
diam         10          0           7           17          
dictum       2           0           5           7           
dictumst     1           0           3           4           
dignissim    3           0           4           7           
do           1           0           1           2           
dolor        4           0           8           12          
dolore       1           0           1           2           
donec        6           0           0           6           
dui          9           0           6           15          
duis         2           0           3           5           
egestas      11          0           10          21          
eget         6           0           7           13          
eiusmod      1           0           1           2           
eleifend     3           0           0           3           
elementum    3           0           3           6           
elit         5           0           7           12          
enim         7           0           10          17          
erat         4           0           0           4           
eros         2           0           1           3           
est          4           0           5           9           
et           8           0           11          19          
etiam        3           0           1           4           
eu           5           0           6           11          
euismod      3           0           3           6           
ever         0           1           0           1           
everywhere   0           1           0           1           
facilisi     1           0           2           3           
facilisis    2           0           5           7           
fames        1           0           2           3           
faucibus     6           0           5           11          
felis        4           0           3           7           
fermentum    3           0           3           6           
feugiat      7           0           10          17          
fringilla    1           0           2           3           
fusce        0           0           3           3           
gravida      1           0           7           8           
habitant     1           0           3           4           
habitasse    1           0           4           5           
hac          1           0           4           5           
help         0           1           0           1           
how          0           1           0           1           
iaculis      3           0           0           3           
id           8           0           5           13          
imperdiet    4           0           7           11          
in           15          1           13          29          
incididunt   1           0           1           2           
integer      1           0           2           3           
interdum     3           0           2           5           
ipsum        4           0           6           10          
justo        3           0           1           4           
labore       1           0           1           2           
lacinia      0           0           3           3           
lacus        2           0           4           6           
laoreet      5           0           2           7           
lectus       5           0           3           8           
leo          2           0           4           6           
libero       7           0           2           9           
lobortis     2           0           1           3           
lorem        3           0           6           9           
luctus       1           0           1           2           
maecenas     1           0           4           5           
magna        4           0           3           7           
malesuada    4           0           5           9           
massa        9           0           7           16          
mattis       9           0           2           11          
mauris       5           0           5           10          
metus        1           0           2           3           
mi           5           0           4           9           
molestie     2           0           3           5           
mollis       2           0           1           3           
morbi        5           0           6           11          
nam          2           0           0           2           
nec          8           0           6           14          
neque        7           0           3           10          
netus        1           0           3           4           
nibh         2           0           3           5           
nisi         4           0           3           7           
nisl         4           0           3           7           
no           0           1           0           1           
non          8           0           7           15          
nulla        6           0           8           14          
nullam       4           0           1           5           
nunc         10          0           5           15          
odio         5           0           5           10          
orci         3           0           4           7           
order        0           1           0           1           
ornare       5           0           3           8           
pellentesque 8           0           12          20          
pharetra     4           0           5           9           
phasellus    1           0           2           3           
placerat     3           0           7           10          
platea       1           0           3           4           
porta        0           0           1           1           
porttitor    4           0           5           9           
posuere      4           0           4           8           
potenti      1           0           1           2           
praesent     2           0           3           5           
pretium      6           0           4           10          
proin        1           0           3           4           
pulvinar     3           0           4           7           
purus        5           0           5           10          
quam         3           0           1           4           
quis         7           0           7           14          
quisque      1           0           2           3           
rhoncus      3           0           3           6           
risus        2           0           6           8           
sagittis     3           0           3           6           
sapien       4           0           4           8           
scattered    0           1           0           1           
scelerisque  6           0           3           9           
sed          17          0           14          31          
sem          1           0           1           2           
semper       4           0           2           6           
senectus     2           0           1           3           
sit          15          0           19          34          
so           0           1           0           1           
sociis       0           0           1           1           
sodales      1           0           0           1           
sollicitudin 2           0           4           6           
suscipit     0           0           3           3           
suspendisse  4           0           5           9           
tellus       4           0           7           11          
tempor       3           0           3           6           
tempus       1           0           1           2           
the          0           1           0           1           
them         0           1           0           1           
tincidunt    7           0           4           11          
tortor       4           0           5           9           
tristique    5           0           4           9           
turpis       4           0           7           11          
ullamcorper  7           0           3           10          
ultrices     5           0           6           11          
ultricies    3           0           3           6           
urna         6           0           5           11          
ut           11          0           8           19          
varius       0           0           1           1           
vehicula     1           0           0           1           
vel          4           0           4           8           
velit        7           0           4           11          
venenatis    3           0           2           5           
vestibulum   6           0           7           13          
vitae        6           0           7           13          
vivamus      5           0           1           6           
viverra      4           0           3           7           
volutpat     6           0           5           11          
vulputate    3           0           1           4           
what         0           1           0           1           
whatsoever   0           1           0           1           
will         0           1           0           1           
words        0           1           0           1           
